User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Sleep_Hours,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Work_Productivity_Score,Stress_Level
1,56,Female,Professional,Android,3.5,1.8,7.2,17,3,7.9,8,3.2
2,46,Female,Professional,Android,6.5,2.6,8,32,2,4.6,5.9,4.6
3,32,Male,Professional,Android,5,2.5,6.6,20,3,6.7,9.1,3.7
4,60,Female,Professional,Android,10.7,1.1,6.2,37,3,5.5,4.2,9.7
5,25,Male,Professional,Android,4.3,0.9,6.2,9,2,5.8,8.3,3.9
6,38,Male,Freelancer,Android,4.7,1.5,7,30,4,6.1,9.5,2.6
7,56,Female,Freelancer,Android,6.9,4.1,6.8,37,3,3.9,4.6,5
8,36,Female,Student,Android,8.2,1.7,5.3,36,2,9.4,5.3,6.6
9,40,Female,Student,Android,6.2,1.6,6.9,25,5,4.9,7.7,3.5
10,28,Male,Professional,Android,6.6,2.6,6,17,3,5.8,5.7,5.6
11,28,Female,Professional,iOS,6.4,4.1,7.7,36,0,7.4,6.1,4.6
12,41,Female,Student,Android,6.1,3.2,7.6,6,0,7.9,7.7,4
13,53,Female,Student,Android,6.9,2.2,7.6,10,1,3.2,7.2,3.5
14,57,Female,Professional,iOS,3,2.6,8.5,35,4,4.7,9.1,2.9
15,41,Female,Professional,Android,5.9,2,6.6,13,2,7.6,7.7,2.7
16,20,Male,Business Owner,Android,6.9,2.1,6.9,39,4,5.2,5,5.2
17,39,Female,Freelancer,iOS,2.4,4,4.9,23,1,3,8.9,2.7
18,19,Female,Professional,Android,3.9,3.4,5.4,6,4,7.7,9.1,4.1
19,41,Male,Freelancer,Android,6.5,2.3,8.8,39,0,6.2,8.3,4.2
20,47,Female,Freelancer,Android,2.2,2.6,8,25,4,5.2,8.4,2.2
21,55,Female,Professional,iOS,3.5,1.7,4.7,14,2,2.8,7.8,1.3
22,19,Female,Student,Android,6.9,3.6,6.8,12,3,2.8,6.3,5.1
23,38,Male,Business Owner,iOS,7.6,1.1,8,26,4,4.9,5.7,6.3
24,50,Male,Business Owner,Android,8.2,1.7,7.9,26,5,8.1,7.6,6.3
25,29,Male,Student,Android,6.1,1.5,7.1,9,2,5.5,7.4,4.3
26,39,Female,Freelancer,Android,7,2.2,7.5,18,0,5.4,8.9,5.4
27,42,Male,Student,Android,5.6,2.5,7.6,11,7,5,7,5.1
28,44,Male,Student,Android,4.5,2.5,8.6,13,0,8.6,8.5,1.8
29,59,Other,Professional,Android,9.7,2,7.1,9,1,8.8,3,7.9
30,45,Male,Professional,Android,7.4,2.5,8.2,23,5,6.7,6.4,5.3
31,33,Female,Professional,Android,2.3,2.3,6.2,36,0,3.5,9.7,3.2
32,32,Female,Professional,Android,6.7,1.8,6.6,15,2,7.4,6,5.1
33,20,Female,Student,Android,6.4,2.2,5.9,37,1,5.8,8.3,6.3
34,54,Female,Student,Android,7.8,2.1,6.4,38,2,7.9,5.9,5.4
35,24,Other,Freelancer,Android,1.1,2.1,7.5,22,0,8.2,10,1.8
36,38,Female,Student,Android,6.6,2.6,6.5,35,2,3.7,6.2,5
37,26,Female,Professional,Android,4,0.2,6.8,9,2,7.7,7.3,3.6
38,56,Male,Professional,Android,4.6,3.2,6.4,28,0,5.8,6.9,3.2
39,35,Female,Professional,Android,8.8,2.5,8.3,12,1,6.7,6.4,5.1
40,21,Female,Professional,iOS,6.5,2.3,7,37,0,5.5,7.3,5.8
41,42,Female,Student,Android,8.9,1.1,7.9,8,1,4.5,5,7.2
42,31,Female,Business Owner,Android,6.6,3.1,8.4,6,2,5.2,5.4,5.1
43,26,Female,Student,Android,7.5,2.4,7.4,23,2,6.9,7.2,5.9
44,43,Male,Student,Android,6.8,3.8,6.5,22,0,4,6.1,5
45,19,Male,Freelancer,Android,4.4,0.2,7.2,22,1,6.3,10,2.9
46,37,Male,Freelancer,Android,3.1,0.2,8,26,3,7.9,10,2.2
47,45,Female,Freelancer,Android,5.1,1.4,6.1,18,2,7.2,7.2,3.5
48,24,Male,Student,Android,7.3,0.9,4.4,16,3,3.1,5.2,8.1
49,25,Male,Freelancer,Android,7,0.5,6.5,22,0,9.4,6.1,5
50,52,Female,Freelancer,iOS,5.6,3.6,7,11,4,7.3,7.1,5.2
51,31,Male,Professional,Android,2.4,1.6,5.6,36,1,2.4,8.5,2
52,34,Female,Student,iOS,11.1,2.4,8.2,28,1,8,1.7,7.1
53,53,Male,Professional,Android,5.1,0.2,8.3,21,2,10.8,8.5,2.9
54,57,Female,Student,iOS,3.4,4.3,8.2,27,3,3.1,7.1,2.9
55,21,Male,Business Owner,Android,5.1,1.2,7.3,37,0,7.6,10,2.3
56,19,Male,Professional,Android,5.9,2.5,8.2,31,3,8.6,7.5,4
57,23,Female,Professional,Android,6.6,1.1,7.5,38,2,7.3,5.6,5.4
58,59,Female,Freelancer,Android,5,0.2,5.4,10,3,6.7,8.3,1.8
59,21,Male,Professional,Android,5.4,2.2,6.9,16,5,6.1,9.1,5.6
60,46,Female,Student,Android,6.4,2.4,9.1,9,2,5.6,7.2,4.8
61,35,Other,Student,Android,6.2,3.7,6.9,30,2,7.5,5.9,5.4
62,43,Male,Business Owner,Android,3.6,2.3,5.4,36,1,3.2,9.1,2.1
63,51,Female,Freelancer,iOS,4.3,3.1,6.3,10,5,6.2,9.5,3.1
64,27,Male,Business Owner,iOS,5.5,6.2,6.8,32,1,6.6,9.2,2.9
65,53,Male,Student,Android,1.4,2.1,7.1,17,1,7,8.8,1
66,31,Male,Student,Android,4.4,2.6,9,30,3,7.4,8.1,3.4
67,48,Male,Student,Android,6.5,3.6,6.8,24,3,7,6.3,5.1
68,32,Male,Freelancer,Android,6.1,2.8,4.8,8,0,8.5,6.8,5.2
69,25,Male,Student,Android,4.8,1.8,6.8,20,2,4.2,5.6,4.7
70,31,Male,Professional,iOS,4.3,1.8,9.3,25,1,9.9,6.4,1.5
71,40,Female,Student,Android,3.1,4.6,8.3,9,1,5,8.8,1.4
72,57,Female,Business Owner,Android,2.5,3.3,6.4,10,0,6.1,10,1
73,38,Female,Professional,Android,2.8,2.9,5.1,33,2,3.7,8,3.1
74,33,Male,Freelancer,iOS,5.1,2.8,7.1,19,0,8,6.9,4.6
75,35,Female,Professional,Android,1.9,0.2,7.8,14,2,8.5,10,3
76,41,Male,Professional,Android,3.5,2.6,9.5,29,2,8.9,9.5,1
77,43,Male,Professional,Android,3.5,2.7,5.9,23,1,6.1,8.6,3.6
78,42,Female,Student,iOS,6.5,1.4,6.5,22,2,3.9,5.7,6.1
79,58,Female,Student,iOS,4,3.7,6.9,16,3,3.9,10,2.7
80,46,Male,Student,iOS,6,2.1,7.1,18,0,4,7.6,4.3
81,32,Male,Professional,Android,5.6,2.9,8.6,33,0,5.1,8,4
82,18,Female,Professional,Android,7.5,2,6.5,37,2,3.5,6.3,6.1
